index,urlkey,timestamp,url,mime,mime-detected,status,digest,length,offset,filename,languages,encoding,redirect,truncated,index_name,success_status,html
38,"nl,slotzuylen)/restauratie-buitenzijde",20241111101008,http://slotzuylen.nl/restauratie-buitenzijde/,text/html,text/html,301,LGGT76I5HYSS6HQT36GPANELE4H7FWR7,598,905127,crawl-data/CC-MAIN-2024-46/segments/1730477028228.41/crawldiagnostics/CC-MAIN-20241111091854-20241111121854-00511.warc.gz,,,https://slotzuylen.nl/restauratie-buitenzijde/,,CC-MAIN-2024-46,not processed,
17,"nl,slotzuylen)/agenda/draden-van-ons-nederlandse-slavernijverleden/2024-09-16",20241003200114,https://slotzuylen.nl/agenda/draden-van-ons-nederlandse-slavernijverleden/2024-09-16/,text/html,text/html,200,Q6XHFQONX5DPLEKYHAU5PNBZDLG6SGZU,25460,493377211,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00812.warc.gz,nld,UTF-8,,,CC-MAIN-2024-42,not processed,
18,"nl,slotzuylen)/agenda/gratis-instaprondleiding-3/2024-02-17",20241003190915,https://slotzuylen.nl/agenda/gratis-instaprondleiding-3/2024-02-17/,text/html,text/html,200,YOD732H2TPTGHZECY42SRWXQJWXUOAIF,23170,481220414,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00886.warc.gz,nld,UTF-8,,,CC-MAIN-2024-42,not processed,
23,"nl,slotzuylen)/agenda/high-tea-slot-zuylen",20241003202210,https://slotzuylen.nl/agenda/high-tea-slot-zuylen/,text/html,text/html,200,G6U3S7DZYJE7EP7FIKTCYRB7MIVEE5KX,23635,487977268,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00186.warc.gz,nld,UTF-8,,,CC-MAIN-2024-42,not processed,
19,"nl,slotzuylen)/agenda/gratis-instaprondleiding/2023-08-11",20241003203548,https://slotzuylen.nl/agenda/gratis-instaprondleiding/2023-08-11/,text/html,text/html,200,5B26Z3QQQNXPQDSOIOWGGEISOPJVAALG,22527,493565340,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00837.warc.gz,nld,UTF-8,,,CC-MAIN-2024-42,not processed,
20,"nl,slotzuylen)/agenda/het-muizenuitje-4/2024-10-29",20241003201148,http://slotzuylen.nl/agenda/het-muizenuitje-4/2024-10-29/,text/html,text/html,301,LGGT76I5HYSS6HQT36GPANELE4H7FWR7,607,1336368,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/crawldiagnostics/CC-MAIN-20241003185904-20241003215904-00824.warc.gz,,,https://slotzuylen.nl/agenda/het-muizenuitje-4/2024-10-29/,,CC-MAIN-2024-42,not processed,
21,"nl,slotzuylen)/agenda/het-muizenuitje-4/2024-10-29",20241003201149,https://slotzuylen.nl/agenda/het-muizenuitje-4/2024-10-29/,text/html,text/html,200,ZIOCTWPPRFDRISKDQHKZ4D5SLLJQ7UA3,24031,491740867,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00007.warc.gz,nld,UTF-8,,,CC-MAIN-2024-42,not processed,
22,"nl,slotzuylen)/agenda/het-muizenuitje/2023-12-27",20241003202453,https://slotzuylen.nl/agenda/het-muizenuitje/2023-12-27/,text/html,text/html,200,EDZF2FM3JO5YX5NYWTWEHWN7WFJZVHYW,24015,496309438,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00185.warc.gz,nld,UTF-8,,,CC-MAIN-2024-42,not processed,
30,"nl,slotzuylen)/agenda/opera-in-de-kasteeltuin-entfuhrung-aus-dem-serail/2024-07-05/3",20241003191451,https://slotzuylen.nl/agenda/opera-in-de-kasteeltuin-entfuhrung-aus-dem-serail/2024-07-05/3/,text/html,text/html,200,ESRBX7PCQ4WDXXI5UPRH3VU7QJM4AYWE,27565,489344937,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00577.warc.gz,nld,UTF-8,,,CC-MAIN-2024-42,not processed,
24,"nl,slotzuylen)/agenda/kerst-op-slot-zuylen",20241003203300,https://slotzuylen.nl/agenda/kerst-op-slot-zuylen/,text/html,text/html,200,ZJEJG46KKEKAYVLKMPH562UDLIQITQPV,23238,483129103,crawl-data/CC-MAIN-2024-42/segments/1727944253216.9/warc/CC-MAIN-20241003185904-20241003215904-00142.warc.gz,"nld,eng",UTF-8,,,CC-MAIN-2024-42,not processed,
